	gc	code	CV	creation_dt	irrig_type	is_Perenial	irrigated
1090	325788	0	0	0	0	0	0
1091	325789	0	0	0	0	0	0
1092	325790	0	0	0	0	0	0
1093	325791	0	0	0	0	0	0
1094	326715	0	0	0	0	0	0
1095	326716	0	0	0	0	0	0
1096	326717	0	0	0	0	0	0
1097	323017	0	0	0	0	0	0
1098	323018	2	0	0	0	0	0
1099	0	1401	0.0155	1	61	1	1
1100	0	1206	0.01039	60	23	0	1
1101	323019	0	0	0	0	0	0
1102	323020	0	0	0	0	0	0
1103	323021	0	0	0	0	0	0
1104	323022	0	0	0	0	0	0
1105	323943	0	0	0	0	0	0
1106	323944	0	0	0	0	0	0
1107	323945	2	0	0	0	0	0
1108	0	1206	0.02109	60	0	0	0
1109	0	1205	0.01055	60	23	0	1
1110	323946	0	0	0	0	0	0
1111	323947	3	0	0	0	0	0
1112	0	722	0.01668	60	73	0	1
1113	0	1206	0.01249	60	0	0	0
1114	0	1207	0.02223	60	0	0	0
1115	323948	5	0	0	0	0	0
1116	0	1208	0.01022	60	37	0	1
1117	0	722	0.01774	60	73	0	1
1118	0	1206	0.01901	60	23	0	1
1119	0	1207	0.02771	60	37	0	1
1120	0	1205	0.0442	60	23	0	1
1121	323949	0	0	0	0	0	0
1122	324871	1	0	0	0	0	0
1123	0	1208	0.04317	60	0	0	0
1124	324872	3	0	0	0	0	0
1125	0	1208	0.01136	60	0	0	0
1126	0	1206	0.03267	60	0	0	0
1127	0	1205	0.01372	60	23	0	1
1128	324873	8	0	0	0	0	0
1129	0	701	0.02717	60	23	0	2
1130	0	1401	0.03052	1	43	1	2
1131	0	722	0.12475	60	73	0	2
1132	0	1206	0.16782	60	0	0	2
1133	0	1207	0.07321	60	0	0	2
1134	0	210	0.018	60	73	0	2
1135	0	1205	0.01073	60	23	0	2
1136	0	721	0.01047	60	23	0	2
1137	324874	13	0	0	0	0	0
1138	0	218	0.037	265	23	0	2
1139	0	701	0.03	60	23	0	2
1140	0	201	0.01041	60	73	0	2
1141	0	1401	0.01434	1	61	1	2
1142	0	713	0.01005	60	23	0	2
1143	0	722	0.30416	60	73	0	2
