run_cell	gridcel	lat	lon	avg_t	annual_p	july_temp
1	320225	46.59375	-120.96875	5.5071	752.837	16.123
1	320226	46.59375	-120.90625	5.5071	752.837	16.8863
1	321146	46.65625	-121.40625	3.3303	1934.3	12.6067
1	321147	46.65625	-121.34375	2.8887	1367.08	12.9721
1	321148	46.65625	-121.28125	2.8887	1367.08	14.2589
1	321149	46.65625	-121.21875	3.4711	1038.11	14.5066
1	321150	46.65625	-121.15625	3.4711	1038.11	15.6278
1	321151	46.65625	-121.09375	3.7561	933.261	16.3253
1	321152	46.65625	-121.03125	3.7561	933.261	15.7092
1	321153	46.65625	-120.96875	4.9516	847.411	16.1123
1	321154	46.65625	-120.90625	4.9516	847.411	16.9427
1	321155	46.65625	-120.84375	7.279	522.007	17.2134
1	321156	46.65625	-120.78125	7.279	522.007	18.4613
1	321157	46.65625	-120.71875	8.5666	310.236	19.6276
1	321158	46.65625	-120.65625	8.5666	310.236	20.5854
1	321159	46.65625	-120.59375	9.2588	240.837	21.2174
1	322075	46.71875	-121.34375	2.8887	1367.08	12.6729
1	322076	46.71875	-121.28125	2.8887	1367.08	13.0202
1	322077	46.71875	-121.21875	3.4711	1038.11	13.1072
1	322078	46.71875	-121.15625	3.4711	1038.11	13.4614
1	322079	46.71875	-121.09375	3.7561	933.261	14.1437
1	322080	46.71875	-121.03125	3.7561	933.261	14.4493
1	322081	46.71875	-120.96875	4.9516	847.411	16.1367
1	322082	46.71875	-120.90625	4.9516	847.411	17.2611
1	322083	46.71875	-120.84375	7.279	522.007	17.9895
1	322084	46.71875	-120.78125	7.279	522.007	19.2246
1	322085	46.71875	-120.71875	8.5666	310.236	20.0001
1	322086	46.71875	-120.65625	8.5666	310.236	20.3653
1	323002	46.78125	-121.40625	2.8865	1676.1899	13.5685
1	323003	46.78125	-121.34375	2.4553	1606.41	13.5226
1	323004	46.78125	-121.28125	2.4553	1606.41	12.0759
1	323005	46.78125	-121.21875	2.2155	1384.34	12.6147
1	323006	46.78125	-121.15625	2.2155	1384.34	14.477
1	323007	46.78125	-121.09375	4.6105	1034.09	15.5714
1	323008	46.78125	-121.03125	4.6105	1034.09	16.3359
1	323009	46.78125	-120.96875	5.4224	871.973	16.6416
1	323010	46.78125	-120.90625	5.4224	871.973	17.468
1	323011	46.78125	-120.84375	5.3616	783.095	17.7199
1	323012	46.78125	-120.78125	5.3616	783.095	17.0213
1	323929	46.84375	-121.46875	2.8865	1676.1899	12.3291
1	323930	46.84375	-121.40625	2.8865	1676.1899	13.0238
1	323931	46.84375	-121.34375	2.4553	1606.41	13.7814
1	323932	46.84375	-121.28125	2.4553	1606.41	13.4859
1	323933	46.84375	-121.21875	2.2155	1384.34	12.2667
1	323934	46.84375	-121.15625	2.2155	1384.34	13.7746
1	323935	46.84375	-121.09375	4.6105	1034.09	15.7442
1	323936	46.84375	-121.03125	4.6105	1034.09	16.6168
1	323937	46.84375	-120.96875	5.4224	871.973	17.9172
1	323938	46.84375	-120.90625	5.4224	871.973	16.8304
1	324857	46.90625	-121.46875	2.2756	1715.23	11.8556
1	324858	46.90625	-121.40625	2.2756	1715.23	12.6364
1	324859	46.90625	-121.34375	2.7906	1418.16	12.7577
1	324860	46.90625	-121.28125	2.7906	1418.16	13.5318
1	324861	46.90625	-121.21875	3.7818	1405.7	14.0628
1	324862	46.90625	-121.15625	3.7818	1405.7	14.1884
1	324863	46.90625	-121.09375	5.0033	990.595	16.0191
1	324864	46.90625	-121.03125	5.0033	990.595	16.8186
1	324865	46.90625	-120.96875	3.2302	1066.58	16.4531
1	325786	46.96875	-121.40625	2.2756	1715.23	11.7983
1	325787	46.96875	-121.34375	2.7906	1418.16	12.2621
1	325788	46.96875	-121.28125	2.7906	1418.16	13.224
1	325789	46.96875	-121.21875	3.7818	1405.7	14.179
1	325790	46.96875	-121.15625	3.7818	1405.7	15.8192
1	325791	46.96875	-121.09375	5.0033	990.595	16.8113
1	326715	47.03125	-121.34375	3.445	1422.66	12.9621
1	326716	47.03125	-121.28125	3.445	1422.66	13.727
1	326717	47.03125	-121.21875	3.9097	1189.9	15.0889
1	323017	46.78125	-120.46875	8.0079	293.607	20.0508
1	323018	46.78125	-120.40625	8.0079	293.607	19.6781
1	323019	46.78125	-120.34375	7.8329	306.75	19.6621
1	323020	46.78125	-120.28125	7.8329	306.75	19.5299
1	323021	46.78125	-120.21875	7.1897	324.895	18.4254
1	323022	46.78125	-120.15625	7.1897	324.895	18.7904
1	323943	46.84375	-120.59375	7.0785	435.596	18.0812
1	323944	46.84375	-120.53125	7.0785	435.596	18.6752
1	323945	46.84375	-120.46875	8.0079	293.607	19.9642
1	323946	46.84375	-120.40625	8.0079	293.607	19.6222
1	323947	46.84375	-120.34375	7.8329	306.75	19.3389
1	323948	46.84375	-120.28125	7.8329	306.75	19.0995
1	323949	46.84375	-120.21875	7.1897	324.895	18.1014
1	324871	46.90625	-120.59375	7.6342	328.29	18.3682
1	324872	46.90625	-120.53125	7.6342	328.29	19.3274
1	324873	46.90625	-120.46875	8.2232	319.902	20.2343
1	324874	46.90625	-120.40625	8.2232	319.902	20.2079
1	324875	46.90625	-120.34375	7.6976	385.902	20.1811
1	324876	46.90625	-120.28125	7.6976	385.902	18.8336
1	325794	46.96875	-120.90625	3.2302	1066.58	14.7361
1	325795	46.96875	-120.84375	5.1846	744.36	16.4017
1	325796	46.96875	-120.78125	5.1846	744.36	17.0406
1	325797	46.96875	-120.71875	6.0059	592.52	17.756
1	325798	46.96875	-120.65625	6.0059	592.52	19.0756
1	325799	46.96875	-120.59375	7.6342	328.29	20.1019
1	325800	46.96875	-120.53125	7.6342	328.29	20.8768
1	325801	46.96875	-120.46875	8.2232	319.902	21.0755
1	325802	46.96875	-120.40625	8.2232	319.902	20.9022
1	325803	46.96875	-120.34375	7.6976	385.902	20.3014
1	325804	46.96875	-120.28125	7.6976	385.902	19.5949
1	325805	46.96875	-120.21875	7.4853	374.513	18.7698
1	326720	47.03125	-121.03125	2.4231	1303.9399	12.769
1	326721	47.03125	-120.96875	3.1272	1308.76	13.9241
1	326722	47.03125	-120.90625	3.1272	1308.76	15.2215
1	326723	47.03125	-120.84375	4.9959	858.903	15.9441
1	326724	47.03125	-120.78125	4.9959	858.903	16.897
1	326725	47.03125	-120.71875	7.606	355.532	18.5001
1	326726	47.03125	-120.65625	7.606	355.532	20.1783
1	326727	47.03125	-120.59375	8.0048	271.428	20.7466
1	326728	47.03125	-120.53125	8.0048	271.428	20.7371
1	326729	47.03125	-120.46875	7.5897	300.84	20.5395
1	326730	47.03125	-120.40625	7.5897	300.84	20.3204
1	326731	47.03125	-120.34375	6.5168	471.356	19.7662
1	326732	47.03125	-120.28125	6.5168	471.356	18.3501
1	327647	47.09375	-121.09375	2.4231	1303.9399	12.9013
1	327648	47.09375	-121.03125	2.4231	1303.9399	14.2953
1	327649	47.09375	-120.96875	3.1272	1308.76	15.3442
1	327650	47.09375	-120.90625	3.1272	1308.76	15.4685
1	327651	47.09375	-120.84375	4.9959	858.903	16.5081
1	327652	47.09375	-120.78125	4.9959	858.903	17.8849
1	327653	47.09375	-120.71875	7.606	355.532	19.2071
1	327654	47.09375	-120.65625	7.606	355.532	19.5417
1	327655	47.09375	-120.59375	8.0048	271.428	19.7488
1	327656	47.09375	-120.53125	8.0048	271.428	19.5677
1	327657	47.09375	-120.46875	7.5897	300.84	19.2515
1	327658	47.09375	-120.40625	7.5897	300.84	18.7783
1	327659	47.09375	-120.34375	6.5168	471.356	18.2285
1	327660	47.09375	-120.28125	6.5168	471.356	17.1313
1	328572	47.15625	-121.28125	3.7727	1812.12	13.0801
1	328573	47.15625	-121.21875	4.7269	1393.0699	13.5796
1	328574	47.15625	-121.15625	4.7269	1393.0699	14.0891
1	328575	47.15625	-121.09375	6.0721	1018.1	15.1107
1	328576	47.15625	-121.03125	6.0721	1018.1	16.5365
1	328577	47.15625	-120.96875	6.5042	811.907	16.892
1	328578	47.15625	-120.90625	6.5042	811.907	17.2258
1	328579	47.15625	-120.84375	6.9301	685.591	17.7875
1	328580	47.15625	-120.78125	6.9301	685.591	17.924
1	328581	47.15625	-120.71875	6.0897	673.455	18.2254
1	328582	47.15625	-120.65625	6.0897	673.455	17.9197
1	328583	47.15625	-120.59375	3.4096	749.289	17.4651
1	328584	47.15625	-120.53125	3.4096	749.289	16.9241
1	328585	47.15625	-120.46875	3.865	669.167	16.8955
1	328586	47.15625	-120.40625	3.865	669.167	16.3615
1	328587	47.15625	-120.34375	2.5166	663.202	15.7221
1	328588	47.15625	-120.28125	2.5166	663.202	15.0678
1	329499	47.21875	-121.34375	3.7727	1812.12	13.8335
1	329500	47.21875	-121.28125	3.7727	1812.12	14.0364
1	329501	47.21875	-121.21875	4.7269	1393.0699	15.2157
1	329502	47.21875	-121.15625	4.7269	1393.0699	16.0933
1	329503	47.21875	-121.09375	6.0721	1018.1	16.7258
1	329504	47.21875	-121.03125	6.0721	1018.1	17.0108
1	329505	47.21875	-120.96875	6.5042	811.907	16.7829
1	329506	47.21875	-120.90625	6.5042	811.907	17.005
1	329507	47.21875	-120.84375	6.9301	685.591	17.5324
1	329508	47.21875	-120.78125	6.9301	685.591	17.7292
1	329509	47.21875	-120.71875	6.0897	673.455	17.5016
1	329510	47.21875	-120.65625	6.0897	673.455	17.0742
1	329511	47.21875	-120.59375	3.4096	749.289	14.6484
1	329512	47.21875	-120.53125	3.4096	749.289	13.7871
1	329513	47.21875	-120.46875	3.865	669.167	15.7571
1	329514	47.21875	-120.40625	3.865	669.167	15.0844
1	329515	47.21875	-120.34375	2.5166	663.202	13.3322
1	330428	47.28125	-121.28125	4.8601	1898.25	15.2558
1	330429	47.28125	-121.21875	4.5167	1599.0601	15.9451
1	330430	47.28125	-121.15625	4.5167	1599.0601	14.7834
1	330431	47.28125	-121.09375	4.8712	1273.6801	16.2477
1	330432	47.28125	-121.03125	4.8712	1273.6801	15.551
1	330433	47.28125	-120.96875	4.9389	1039.35	15.9054
1	330434	47.28125	-120.90625	4.9389	1039.35	16.5826
1	330435	47.28125	-120.84375	4.7141	1094.5601	16.797
1	330436	47.28125	-120.78125	4.7141	1094.5601	16.1866
1	330437	47.28125	-120.71875	4.4089	881.886	16.7567
1	330438	47.28125	-120.65625	4.4089	881.886	16.9118
1	330439	47.28125	-120.59375	2.5497	946.221	14.632
1	330440	47.28125	-120.53125	2.5497	946.221	13.6856
1	330441	47.28125	-120.46875	3.3624	749.903	14.5639
1	331354	47.34375	-121.40625	4.2558	2338.04	14.0151
1	331355	47.34375	-121.34375	4.8601	1898.25	14.4584
1	331356	47.34375	-121.28125	4.8601	1898.25	14.5218
1	331357	47.34375	-121.21875	4.5167	1599.0601	14.4866
1	331358	47.34375	-121.15625	4.5167	1599.0601	14.6212
1	331359	47.34375	-121.09375	4.8712	1273.6801	15.7255
1	331360	47.34375	-121.03125	4.8712	1273.6801	14.8522
1	331361	47.34375	-120.96875	4.9389	1039.35	15.0961
1	331362	47.34375	-120.90625	4.9389	1039.35	15.4627
1	331363	47.34375	-120.84375	4.7141	1094.5601	16.122
